name	trigger	average	std	subject_1	subject_2	subject_3	subject_4	subject_5	subject_6	subject_7	subject_8	subject_9	subject_10	subject_11	subject_12	subject_13	subject_14	subject_15	subject_16	subject_17	subject_18	subject_19	subject_20	subject_21	subject_22	subject_23	subject_24	subject_25	subject_26	subject_27	subject_28	subject_29	subject_30	subject_31	subject_32	subject_33	
Scarlett Johansson	50	4.06	0.81	5.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	3.0	3.0	4.0	4.0	5.0	2.0	4.0	4.0	3.0	3.0	3.0	5.0	3.0	4.0	3.0	4.0	4.0	4.0	
Hillary Clinton	4	3.88	0.98	4.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	2.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	5.0	3.0	4.0	4.0	3.0	2.0	3.0	5.0	4.0	3.0	2.0	5.0	5.0	5.0	
Ernest Hemingway	12	3.85	0.89	5.0	2.0	3.0	4.0	5.0	5.0	4.0	5.0	3.0	5.0	3.0	4.0	4.0	3.0	3.0	5.0	3.0	4.0	3.0	5.0	3.0	4.0	5.0	4.0	3.0	4.0	5.0	4.0	3.0	3.0	3.0	5.0	3.0	
Bob Dylan	27	3.91	0.93	3.0	2.0	3.0	4.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	5.0	3.0	4.0	3.0	3.0	3.0	5.0	3.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	3.0	3.0	2.0	5.0	5.0	3.0	
Sigmund Freud	15	4.03	0.9	4.0	3.0	3.0	5.0	5.0	5.0	5.0	5.0	2.0	4.0	3.0	5.0	5.0	2.0	3.0	5.0	4.0	3.0	4.0	5.0	3.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	3.0	5.0	4.0	5.0	4.0	
Vladimir Putin	5	3.85	0.89	3.0	4.0	3.0	3.0	5.0	5.0	4.0	5.0	5.0	5.0	3.0	3.0	3.0	5.0	4.0	4.0	3.0	4.0	4.0	5.0	2.0	4.0	4.0	3.0	3.0	3.0	5.0	4.0	4.0	2.0	4.0	5.0	4.0	
Freddie Mercury	24	3.97	0.9	4.0	4.0	3.0	4.0	5.0	5.0	3.0	5.0	3.0	4.0	5.0	4.0	3.0	3.0	3.0	5.0	3.0	2.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	2.0	3.0	5.0	4.0	
Wolfgang Amadeus Mozart	25	3.67	0.94	4.0	3.0	2.0	3.0	5.0	5.0	4.0	5.0	3.0	5.0	4.0	4.0	3.0	3.0	2.0	4.0	5.0	4.0	3.0	5.0	3.0	4.0	4.0	3.0	4.0	3.0	5.0	5.0	3.0	3.0	2.0	3.0	3.0	
Silvio Berlusconi	6	4.45	0.78	5.0	5.0	3.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	5.0	4.0	5.0	3.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	3.0	5.0	5.0	4.0	
Barack Obama	1	4.21	0.81	4.0	5.0	3.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	3.0	4.0	5.0	3.0	4.0	3.0	5.0	3.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	2.0	4.0	5.0	4.0	
